case,variant,workers,callers,grain,rows,inner,columns,batches,nested,padded,pool_spin_us,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high,throughput_calls_s
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,0,16,33934200,2120887.5,2875.0799999999999,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,1,16,34408400,2150525,2838.2200000000003,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,2,16,33812200,2113262.5,2911.9400000000001,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,3,16,34488300,2155518.75,2690.7799999999997,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,4,16,34061400,2128837.5,2690.7799999999997,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,5,16,32989300,2061831.25,2690.7799999999997,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,6,16,34331200,2145700,2764.5,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,7,16,34219800,2138737.5,2985.6600000000003,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,serial,4,1,16,1,64,64,128,0,0,0,8,16,35615800,2225987.5,2875.0799999999999,2138737.5,2137920.8333333335,43381.694480686492,2097720.4631145638,2178121.2035521031,467.56556145857076
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,0,16,32702400,2043900,2875.0799999999999,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,1,16,34315800,2144737.5,2838.2200000000003,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,2,16,36458200,2278637.5,2764.5,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,3,16,34144100,2134006.25,2801.3600000000001,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,4,16,34609400,2163087.5,2727.6399999999999,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,5,16,35600100,2225006.25,2875.0799999999999,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,6,16,33152600,2072037.5,2985.6600000000003,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,7,16,34841700,2177606.25,2948.8000000000002,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_default,4,1,16,1,64,64,128,0,0,0,8,16,35158100,2197381.25,2727.6399999999999,2163087.5,2159600,72578.689919760538,2092343.7473410219,2226856.2526589781,462.30214912711574
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,0,64,37682300,588785.9375,2764.5,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,1,64,39047100,610110.9375,2727.6399999999999,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,2,64,38725300,605082.8125,2543.3399999999997,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,3,64,38730600,605165.625,2580.1999999999998,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,4,64,39228200,612940.625,2727.6399999999999,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
batch_one_row,context_forced,4,1,16,1,64,64,128,0,0,0,5,64,38730300,605160.9375,2727.6399999999999,605160.9375,602003.9930555555,9305.4313669094427,593380.95998888614,610627.02612222487,1652.4529890034416
