schema_version,timestamp,benchmark,case,implementation,unit,median,mean,stddev,ci95_mean_low,ci95_mean_high,result_allocations,result_bytes,platform,compiler,cpu_context,seed,warmup,batches,target_work,min_batch_ms,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,dtype,inputs,output,quick,scope,stabilize,cooldown,cache_regime,work_per_call,statistics_kind
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,171.11625000000001,190.73137500000001,54.993368165613028,160.34503006782916,221.11771993217087,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,10,160000,27532000,172.07499999999999,2801.3600000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,171.11625000000001,190.73137500000001,54.993368165613028,160.34503006782916,221.11771993217087,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,11,160000,27489000,171.80625000000001,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,171.11625000000001,190.73137500000001,54.993368165613028,160.34503006782916,221.11771993217087,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,12,160000,27378600,171.11625000000001,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,171.11625000000001,190.73137500000001,54.993368165613028,160.34503006782916,221.11771993217087,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,13,160000,27186300,169.91437500000001,2948.8000000000002,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,171.11625000000001,190.73137500000001,54.993368165613028,160.34503006782916,221.11771993217087,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,14,160000,27426100,171.41312500000001,2911.9400000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,0,320000,81753400,255.479375,2580.1999999999998,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,1,320000,33715000,105.359375,2690.7799999999997,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,2,320000,32633100,101.9784375,2801.3600000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,3,320000,81054200,253.294375,2653.9200000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,4,320000,32497400,101.55437499999999,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:50:46",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,103.13875,123.43670833333333,53.190151006839542,94.046723151470729,152.82669351519593,1,4,Windows-x64,GCC-16.1,"[2026-08-31 06:50:46] linear algebra start CPU: 3538 MHz (base: 3686)",12345,3,15,10000,20,5,320000,32611200,101.91,2801.3600000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
