schema_version,timestamp,benchmark,case,implementation,unit,median,mean,stddev,ci95_mean_low,ci95_mean_high,result_allocations,result_bytes,platform,compiler,cpu_context,seed,warmup,batches,target_work,min_batch_ms,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,dtype,inputs,output,quick,scope,stabilize,cooldown,cache_regime,work_per_call,statistics_kind
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,408.22624999999999,409.11200000000002,6.817873270859466,405.34481395879834,412.87918604120171,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,10,80000,33379200,417.24000000000001,3133.0999999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,408.22624999999999,409.11200000000002,6.817873270859466,405.34481395879834,412.87918604120171,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,11,80000,32723100,409.03874999999999,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,408.22624999999999,409.11200000000002,6.817873270859466,405.34481395879834,412.87918604120171,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,12,80000,32175500,402.19375000000002,2690.7799999999997,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,408.22624999999999,409.11200000000002,6.817873270859466,405.34481395879834,412.87918604120171,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,13,80000,33410800,417.63499999999999,2801.3600000000001,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,fat_p,ns/call,408.22624999999999,409.11200000000002,6.817873270859466,405.34481395879834,412.87918604120171,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,14,80000,32259700,403.24624999999997,2617.0599999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,343.92500000000001,344.85883333333339,6.2193205672687837,341.42237496926936,348.29529169739743,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,0,80000,27514000,343.92500000000001,2617.0599999999999,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,343.92500000000001,344.85883333333339,6.2193205672687837,341.42237496926936,348.29529169739743,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,1,80000,27784800,347.31,2580.1999999999998,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,343.92500000000001,344.85883333333339,6.2193205672687837,341.42237496926936,348.29529169739743,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,2,80000,27733900,346.67374999999998,3169.96,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,343.92500000000001,344.85883333333339,6.2193205672687837,341.42237496926936,348.29529169739743,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,3,80000,26998700,337.48374999999999,2764.5,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
1,"2026-08-31 06:45:52",TensorMatmul,dot/float/small/contiguous,scalar_prevalidated,ns/call,343.92500000000001,344.85883333333339,6.2193205672687837,341.42237496926936,348.29529169739743,1,4,Windows-x64,MSVC-1951,"[2026-08-31 06:45:52] linear algebra start CPU: 3354 MHz (base: 3686)",12345,3,15,10000,20,4,80000,27892200,348.65249999999997,2838.2200000000003,float,"left=[16] strides=[1] origin=7 right=[16] strides=[1] origin=7","[]",0,1,1,1,reused_inputs_no_flush,16,dispersion_of_batch_means
